angleToTrackAxis,trackPosition,rxSensor,ctrSensor,sxSensor,rpm,gear,steering,accelerate,brake,clutch
0.036280,0.330625,59.567200,47.235200,36.306000,5329.580000,2,0.000000,0.400000,0.000000,0.000000
0.044952,0.278765,47.858700,37.664200,29.327600,5223.710000,2,-0.300000,0.000000,0.516675,0.000000
0.102946,0.153482,61.145100,45.503700,36.066700,4552.110000,2,0.000000,0.000000,0.000000,0.000000
0.008780,0.088358,49.793200,36.984500,29.457300,4414.090000,2,0.000000,0.000000,0.000000,0.000000
0.095687,0.061446,152.932000,64.919500,41.405600,4249.160000,2,-0.300000,0.000000,0.000000,0.000000
0.099326,-0.088106,175.198000,160.290000,64.062400,4130.790000,2,0.000000,0.000000,0.000000,0.000000
0.010637,-0.147867,170.645000,155.179000,61.367500,4096.560000,2,0.000000,0.000000,0.000000,0.000000
-0.047755,-0.118739,157.488000,200.000000,62.331400,3977.120000,2,0.000000,0.000000,0.000000,0.000000
-0.010521,-0.108964,87.162800,182.543000,85.189700,3869.240000,2,0.000000,0.000000,0.000000,0.000000
-0.009418,-0.099924,86.802300,174.409000,85.456000,3771.880000,2,0.000000,0.000000,0.000000,0.000000
-0.008453,-0.092277,86.470300,166.818000,85.714600,3689.470000,2,0.000000,0.000000,0.000000,0.000000
-0.007486,-0.085363,86.074500,159.121000,86.039100,3607.920000,2,0.000000,0.000000,0.000000,0.000000
-0.006607,-0.079285,85.704000,151.629000,86.356200,3536.980000,2,0.000000,0.000000,0.000000,0.000000
-0.005783,-0.074114,85.316000,144.583000,86.701000,3471.650000,2,0.000000,0.000000,0.000000,0.000000
-0.005011,-0.069592,84.929700,137.691000,87.056400,3412.730000,2,0.000000,0.000000,0.000000,0.000000
-0.004270,-0.065638,84.530500,130.935000,87.435000,3356.740000,2,0.000000,0.000000,0.000000,0.000000
-0.003531,-0.062016,84.111600,124.047000,88.607700,3302.820000,2,0.000000,0.000000,0.000000,0.000000
-0.002846,-0.059011,82.768300,117.545000,141.040000,3253.800000,2,0.000000,-0.300000,0.000000,0.000000
-0.002189,-0.056390,80.090100,111.158000,133.765000,3207.030000,2,0.000000,-0.300000,0.000000,0.000000
-0.001528,-0.054065,76.708500,104.630000,126.294000,3160.600000,2,0.000000,0.000000,0.000000,0.000000
-0.000901,-0.052221,73.139800,98.454000,119.193000,3117.870000,2,0.000000,-0.300000,0.000000,0.000000
-0.000463,-0.050608,69.280900,92.167300,111.915000,3166.780000,2,0.000000,0.300000,0.000000,0.000000
-0.000575,-0.048847,65.162700,85.707800,104.368000,3633.330000,2,0.000000,1.300000,0.000000,0.000000
-0.059226,-0.013698,72.730100,90.086600,106.758000,4612.920000,2,0.000000,1.000000,0.000000,0.000000
-0.058048,0.063408,65.374700,80.464900,95.697400,5722.310000,2,0.000000,1.000000,0.000000,0.000000
-0.058339,0.157211,56.415800,68.908900,82.288500,4626.850000,3,0.000000,1.000000,0.000000,0.000000
-0.123622,0.286348,53.855400,64.713800,76.683900,5197.630000,3,0.000000,1.000000,0.000000,0.000000
-0.080274,0.502631,47.248300,56.250300,66.579300,4482.400000,3,0.000000,1.000000,0.000000,0.000000
-0.168982,0.644898,58.369500,68.505400,15.066600,5417.020000,3,0.000000,1.000000,0.000000,0.000000
-0.047509,0.854427,49.295700,57.516300,66.935500,5191.160000,3,0.000000,0.000000,0.000000,0.000000
-0.022159,0.877918,47.464000,55.295300,63.674500,4849.550000,3,0.000000,1.000000,0.000000,0.000000
-0.032749,0.864453,47.947500,54.969500,62.296300,6356.230000,3,0.000000,1.000000,0.000000,0.000000
0.015645,0.905217,43.712800,49.548800,55.829200,5386.310000,2,0.000000,1.000000,0.000000,0.000000
-0.006041,0.896515,42.805000,48.124700,53.899800,5415.110000,2,0.000000,0.000000,0.892859,0.000000
0.023125,0.864080,38.254700,42.908000,48.078200,3986.340000,2,0.000000,1.000000,0.000000,0.000000
0.077708,0.830883,32.921300,36.845900,41.324200,5635.590000,2,0.000000,1.000000,0.000000,0.000000
0.105712,0.730208,30.686800,34.453200,38.799600,3735.210000,2,0.300000,1.300000,0.000000,0.000000
0.167760,0.634205,27.278100,30.644300,34.598300,5467.850000,2,0.000000,1.000000,0.000000,0.000000
0.182594,0.499964,25.216300,28.470500,32.339800,3287.240000,2,0.000000,0.000000,0.025354,0.000000
0.248246,0.339707,21.249900,24.025100,27.401400,3224.490000,2,0.300000,0.000000,0.622472,0.000000
0.225069,0.208274,20.301500,23.170700,26.695800,5290.350000,2,0.000000,0.000000,0.863320,0.000000
0.291464,0.040797,16.399700,18.723000,21.650200,2938.220000,1,0.300000,1.300000,0.000000,0.000000
0.209246,-0.074403,16.976500,19.781400,23.355700,3753.830000,1,0.000000,1.000000,0.000000,0.000000
0.242141,-0.206670,14.211000,16.636700,19.852500,942.478000,1,0.300000,1.300000,0.000000,0.000000
0.029279,-0.274973,21.592700,29.782200,48.574800,3512.850000,2,1.000000,1.300000,0.000000,0.000000
-0.193161,-0.113874,133.427000,94.663400,46.761500,3253.880000,2,0.000000,1.000000,0.000000,0.000000
-0.099049,0.012065,131.011000,74.928600,39.999600,3966.550000,2,0.300000,1.100000,0.000000,0.000000
-0.225281,0.242769,41.280600,25.424100,18.470100,2095.430000,1,0.000000,1.000000,0.000000,0.000000
-0.289665,0.445430,20.690900,14.561700,11.300300,3872.090000,1,0.000000,0.000000,0.000000,0.000000
-0.241522,0.574531,20.768900,13.341500,9.882480,3298.450000,1,0.000000,1.000000,0.000000,0.000000
-0.240586,0.689601,15.243600,9.770340,7.229560,2080.320000,1,-0.300000,0.000000,0.131105,0.000000
-0.171129,0.748537,22.515300,11.074700,7.380640,2774.000000,1,-0.300000,1.300000,0.000000,0.000000
0.218747,0.727449,43.005600,59.702500,86.483700,4126.870000,2,-1.000000,1.300000,0.000000,0.000000
0.458157,0.392524,20.131700,23.613000,28.815100,3308.720000,2,0.000000,0.000000,0.141725,0.000000
0.558143,0.060071,13.217300,15.012000,17.525000,942.478000,1,0.000000,0.000000,0.000000,0.000000
0.552315,-0.123822,11.009800,12.524900,14.652900,1544.610000,1,0.300000,0.000000,0.000000,0.000000
0.368819,-0.211371,13.429200,16.406400,21.287700,1471.750000,1,1.300000,0.000000,0.000000,0.000000
0.147358,-0.232575,24.758000,39.200900,70.172500,1441.650000,1,1.000000,0.000000,0.000000,0.000000
0.000976,-0.217195,62.035500,80.142200,92.784900,1583.640000,1,0.000000,0.300000,0.000000,0.000000
0.000895,-0.217364,60.806200,78.051000,90.441600,2223.940000,1,0.000000,1.300000,0.000000,0.000000
0.000767,-0.217643,58.614400,74.540500,86.502400,4275.180000,1,0.000000,1.000000,0.000000,0.000000
0.000392,-0.217616,54.710900,68.668800,79.887000,3416.060000,2,0.000000,1.300000,0.000000,0.000000
0.000358,-0.217824,49.388600,61.220400,71.480800,4364.190000,2,0.000000,1.300000,0.000000,0.000000
-0.044968,-0.203094,47.983300,57.227600,65.944100,5410.420000,2,0.000000,1.300000,0.000000,0.000000
-0.125569,-0.102425,46.338900,53.576700,60.798400,4338.080000,3,0.000000,1.300000,0.000000,0.000000
-0.183132,0.110356,41.110800,46.897500,52.950800,5469.010000,2,0.000000,0.000000,0.716780,0.000000
-0.132714,0.325316,34.548300,39.215900,44.319100,4398.510000,2,0.300000,0.000000,0.783254,0.000000
-0.124179,0.472129,35.637200,40.118900,45.135900,3742.290000,2,0.000000,1.300000,0.000000,0.000000
0.023426,0.517789,29.625500,33.280800,37.504800,3142.500000,1,0.300000,1.000000,0.000000,0.000000
-0.016827,0.560121,31.883800,36.797700,43.897300,3846.920000,2,0.000000,1.300000,0.000000,0.000000
0.091482,0.499914,27.933900,33.040000,40.810400,1058.150000,1,0.300000,1.000000,0.000000,0.000000
0.159078,0.411705,26.859200,33.084800,43.498200,3970.440000,2,0.300000,1.000000,0.000000,0.000000
0.246530,0.208009,25.897500,33.931600,49.741400,4953.410000,2,0.000000,1.300000,0.000000,0.000000
0.273700,-0.105495,18.995400,24.820200,36.194100,6008.180000,2,0.300000,0.000000,0.384041,0.000000
0.256555,-0.326072,14.994500,19.919100,30.000200,3341.210000,2,0.300000,0.000000,0.425438,0.000000
0.175065,-0.448498,15.949700,23.748200,47.171600,5457.890000,2,0.000000,1.300000,0.000000,0.000000
0.111972,-0.575649,16.080100,28.482900,128.834000,2638.550000,2,0.000000,1.300000,0.000000,0.000000
0.079538,-0.632749,16.589500,34.666300,200.000000,3139.820000,2,0.000000,1.300000,0.000000,0.000000
0.079578,-0.702233,13.447500,28.093100,200.000000,3840.180000,2,0.000000,0.800000,0.000000,0.000000
0.079886,-0.778873,9.968130,20.782300,200.000000,1321.620000,1,0.000000,0.500000,0.000000,0.000000
0.078291,-0.834627,7.525960,15.858300,200.000000,3360.750000,1,0.000000,0.000000,0.000000,0.000000
0.077614,-0.875828,5.673930,12.011000,200.000000,3069.170000,1,0.000000,0.000000,0.405840,0.000000
-0.036629,-0.874589,18.582600,200.000000,113.769000,1954.320000,1,0.000000,0.300000,0.000000,0.000000
-0.039760,-0.860457,22.038400,200.000000,110.142000,2158.920000,1,0.000000,1.200000,0.000000,0.000000
-0.039799,-0.842870,24.836000,200.000000,109.069000,3729.030000,1,0.000000,1.300000,0.000000,0.000000
-0.039877,-0.813935,29.458300,200.000000,107.290000,3141.520000,2,0.000000,1.000000,0.000000,0.000000
-0.039842,-0.778117,35.103400,200.000000,105.200000,3956.690000,2,0.000000,1.300000,0.000000,0.000000
-0.039758,-0.734489,41.930900,200.000000,102.687000,5065.720000,2,0.000000,1.000000,0.000000,0.000000
-0.039532,-0.681711,50.027800,200.000000,99.739000,6501.840000,3,0.000000,1.000000,0.000000,0.000000
