angleToTrackAxis,trackPosition,11Sensor,rxSensor,ctrSensor,sxSensor,7Sensor,xSpeed,ySpeed,class
0.010115,-0.003320,0.105885,0.139642,0.185896,0.243967,0.310704,0.424932,0.001721,1
-0.001162,-0.003504,0.097798,0.126855,0.167474,0.220271,0.283105,0.422751,0.001630,2
-0.007653,-0.003288,0.102977,0.133374,0.175336,0.229137,0.292482,0.418632,0.001508,2
-0.017979,-0.002929,0.117085,0.151752,0.198062,0.255300,0.320690,0.414118,0.002870,0
-0.007738,-0.002387,0.112708,0.143758,0.185652,0.238560,0.300487,0.410490,0.001360,2
0.003509,-0.002289,0.103784,0.131029,0.168402,0.216919,0.275405,0.406750,0.001729,2
0.013731,-0.002512,0.093708,0.117570,0.150895,0.195401,0.250736,0.402845,0.001713,2
0.002782,-0.002868,0.098487,0.125487,0.163032,0.212230,0.271749,0.397898,0.001688,2
-0.036488,-0.002306,0.145937,0.188212,0.241400,0.303464,0.371363,0.391149,-0.005565,0
-0.013705,-0.001509,0.127646,0.161272,0.205315,0.259451,0.321603,0.389042,0.001020,1
0.008197,-0.001404,0.108572,0.135013,0.170795,0.217019,0.272949,0.386932,0.001004,1
0.029650,-0.001937,0.088520,0.108663,0.136706,0.174775,0.223692,0.386858,0.001662,2
0.028797,-0.002819,0.081000,0.100447,0.128090,0.166373,0.216255,0.382672,0.001498,2
0.026651,-0.003524,0.075560,0.094726,0.122488,0.161569,0.212923,0.379184,0.001386,2
-0.006007,-0.003926,0.094365,0.123577,0.164826,0.218660,0.282650,0.373286,0.000020,2
-0.035854,-0.003193,0.135043,0.177178,0.231043,0.294346,0.373137,0.367258,-0.001213,0
-0.016314,-0.002477,0.120272,0.154481,0.199903,0.255995,0.325864,0.364427,0.001361,2
-0.006997,-0.002135,0.114628,0.145564,0.187126,0.239522,0.312447,0.361471,0.001006,2
0.002082,-0.002046,0.107403,0.135300,0.173272,0.222327,0.303127,0.358467,0.000895,2
-0.019969,-0.001916,0.130153,0.165952,0.215706,0.341112,0.638465,0.353715,0.002762,2
-0.048691,-0.000788,0.181511,0.260233,0.658560,0.486884,0.313936,0.348222,-0.000663,0
-0.029016,0.000222,0.167766,0.247394,0.627415,0.466680,0.314242,0.346411,0.000085,1
-0.009222,0.000722,0.154645,0.237842,0.596300,0.445981,0.309997,0.344725,0.000049,1
0.010597,0.000704,0.142778,0.233362,0.565420,0.425081,0.302955,0.345592,0.000035,1
0.028625,0.000173,0.135923,0.665760,0.524015,0.394590,0.286509,0.354912,0.000990,5
0.035534,-0.000718,0.141351,0.600145,0.467317,0.351112,0.258766,0.359537,-0.000024,0
0.035539,-0.001673,0.143066,0.560635,0.435178,0.328547,0.245990,0.356492,0.000008,0
0.026887,-0.002523,0.155703,0.521265,0.403297,0.305854,0.232124,0.353892,-0.000001,1
0.016716,-0.003102,0.608535,0.481943,0.371610,0.283015,0.217350,0.351563,0.000000,1
0.006549,-0.003409,0.563470,0.442559,0.340033,0.259998,0.201780,0.350331,-0.000020,1
-0.003887,-0.003447,0.516645,0.401992,0.307689,0.236185,0.185079,0.357401,-0.000106,1
-0.014414,-0.003194,0.468574,0.360748,0.274993,0.211868,0.167488,0.372861,0.000098,1
-0.025232,-0.002634,0.418115,0.317961,0.241300,0.186587,0.148719,0.374699,-0.000020,0
-0.029510,-0.001838,0.392187,0.294883,0.222062,0.171150,0.136395,0.370829,-0.000411,4
-0.028527,-0.000986,0.386038,0.287125,0.213714,0.163097,0.129043,0.366711,-0.000597,4
-0.017116,-0.000294,0.425444,0.315818,0.231785,0.173158,0.134093,0.362367,-0.003022,4
0.004537,-0.000322,0.525015,0.399670,0.295352,0.217196,0.163450,0.357484,0.000350,0
-0.005708,-0.000306,0.476674,0.358149,0.263202,0.194622,0.148362,0.354267,-0.000066,1
-0.015803,-0.000022,0.428001,0.316862,0.231502,0.172060,0.132649,0.351918,-0.000068,1
-0.025802,0.000525,0.378503,0.275492,0.200030,0.149386,0.116329,0.349594,-0.000076,1
-0.023128,0.001204,0.381062,0.274611,0.196651,0.144898,0.111653,0.347934,-0.001511,4
-0.011676,0.001629,0.426812,0.309211,0.219058,0.157790,0.118681,0.344273,-0.001399,4
0.012702,0.001652,0.545510,0.410917,0.296239,0.209742,0.151677,0.340195,-0.001874,0
0.008306,0.001368,0.526250,0.394846,0.284691,0.202924,0.148356,0.336207,-0.000903,6
0.018490,0.000985,0.581450,0.445620,0.327352,0.235041,0.170803,0.341695,-0.001579,6
0.012860,0.000544,0.557225,0.425234,0.312426,0.226046,0.166457,0.343235,-0.000135,0
0.003350,0.000338,0.512580,0.386591,0.282526,0.205653,0.153682,0.339562,-0.000154,6
0.001887,0.000246,0.506510,0.381658,0.279060,0.203591,0.152622,0.345374,-0.000085,1
-0.007534,0.000314,0.461418,0.343088,0.249454,0.182988,0.138885,0.352745,-0.000154,1
-0.017483,0.000635,0.412766,0.302018,0.218220,0.160959,0.123600,0.360008,-0.000238,1
-0.028286,0.001281,0.358311,0.256808,0.184188,0.136624,0.106105,0.367936,-0.000218,1
-0.038443,0.002184,0.304963,0.213410,0.151873,0.113203,0.088753,0.375104,-0.000857,4
-0.027886,0.003153,0.333483,0.229051,0.157356,0.113118,0.086181,0.370037,-0.000970,4
-0.015641,0.003719,0.380582,0.261838,0.175584,0.121601,0.089581,0.364494,-0.001101,4
-0.003238,0.003889,0.439116,0.308652,0.206786,0.139563,0.099584,0.358928,0.000391,0
-0.006719,0.004051,0.419456,0.291380,0.193631,0.130710,0.093748,0.353665,-0.000797,4
-0.005392,0.004198,0.424154,0.294468,0.194862,0.130648,0.093128,0.348539,-0.000862,4
0.005233,0.004240,0.478377,0.340563,0.227958,0.150636,0.104506,0.343291,-0.003620,4
0.012751,0.003897,0.522080,0.380957,0.261123,0.174060,0.119838,0.338270,-0.000940,4
0.019413,0.003484,0.563630,0.418897,0.293951,0.198803,0.136776,0.340875,-0.001891,6
0.021741,0.002886,0.593310,0.438001,0.312720,0.215380,0.149984,0.347197,-0.000231,1
0.011595,0.002426,0.539965,0.395841,0.280627,0.195205,0.139331,0.344140,-0.000361,1
0.002141,0.002246,0.490344,0.356270,0.250784,0.175914,0.127981,0.341336,-0.000351,1
-0.007865,0.002313,0.437845,0.313972,0.219214,0.155029,0.114742,0.338339,-0.000378,1
-0.017877,0.002645,0.385254,0.271103,0.187609,0.133685,0.100428,0.341711,-0.000418,1
-0.021588,0.003193,0.361130,0.249254,0.170211,0.120728,0.090755,0.356255,-0.001197,6
-0.021278,0.003742,0.358015,0.241097,0.161899,0.113365,0.084558,0.370714,-0.000983,6
-0.010101,0.004277,0.642335,0.273766,0.180152,0.121492,0.087496,0.381755,-0.002930,1
-0.012302,0.004540,0.594960,0.260973,0.169542,0.113903,0.082096,0.388869,-0.001228,6
-0.011849,0.004871,0.541155,0.262652,0.164526,0.109199,0.078116,0.395224,-0.000660,6
-0.011677,0.005194,0.488598,0.273672,0.158742,0.104081,0.073932,0.401309,-0.000848,6
0.012757,0.005180,0.371218,0.439474,0.497912,0.150996,0.099672,0.406392,0.003417,1
0.009099,0.004882,0.331370,0.392737,0.447689,0.153973,0.099679,0.413185,-0.000923,6
0.008929,0.004589,0.285111,0.339451,0.390602,0.182753,0.107233,0.419663,0.000431,1
0.005022,0.004396,0.248775,0.294769,0.340520,0.385080,0.115886,0.427380,-0.000134,1
-0.003093,0.004392,0.222558,0.260402,0.299939,0.340076,0.114793,0.423873,-0.000591,0
-0.003051,0.004476,0.197677,0.228976,0.263002,0.298876,0.335690,0.417778,-0.000378,0
-0.008630,0.004605,0.177434,0.203667,0.233038,0.264985,0.298780,0.411990,-0.000233,2
-0.019948,0.005081,0.159250,0.181377,0.206733,0.235065,0.265883,0.405594,-0.000551,0
0.012516,0.005170,0.137195,0.155409,0.176813,0.201450,0.229123,0.399589,-0.000010,2
0.039356,0.004416,0.117979,0.133245,0.151562,0.173195,0.198198,0.393660,0.000015,2
0.060674,0.002834,0.098777,0.111595,0.127318,0.146390,0.169105,0.387203,0.001088,2
0.021217,0.001490,0.109044,0.125931,0.146559,0.171186,0.199723,0.375615,-0.008651,2
-0.044828,0.001326,0.154268,0.180463,0.210471,0.243678,0.279227,0.356542,-0.030877,0
-0.027008,0.002080,0.144737,0.168187,0.195461,0.226195,0.259718,0.350538,-0.000902,0
0.001400,0.002398,0.126822,0.146367,0.169666,0.196718,0.227173,0.345344,0.000389,2
0.023740,0.002091,0.111648,0.128323,0.148593,0.172713,0.200616,0.340660,0.000367,2
0.035982,0.001238,0.099771,0.114794,0.133358,0.155875,0.182562,0.335313,0.004208,2
